Event	Time	X	Y	POL
				
1	10000 ns	250	73	0
2	10874 ns	58	43	1
3	11746 ns	44	117	1
4	12369 ns	51	153	1
5	13292 ns	52	136	0
6	13997 ns	51	46	0
7	14688 ns	135	153	1
8	14975 ns	231	125	1
9	15727 ns	196	207	0
10	16451 ns	248	145	0
11	16686 ns	130	203	1
12	17110 ns	42	192	1
13	17237 ns	45	184	0
14	17403 ns	118	135	1
15	17808 ns	107	132	1
16	18595 ns	102	125	1
17	18976 ns	33	71	1
18	19143 ns	110	30	0
19	19844 ns	13	202	0
20	20365 ns	255	39	0
21	21301 ns	83	183	1
22	21465 ns	292	47	1
23	21752 ns	152	59	0
24	22711 ns	86	142	1
25	23015 ns	112	137	1
26	23355 ns	12	39	1
27	23483 ns	176	80	1
28	23774 ns	219	199	1
29	24468 ns	19	58	0
30	24746 ns	15	215	0
31	25282 ns	10	152	0
32	26018 ns	81	131	0
33	26301 ns	11	116	0
34	27158 ns	204	224	0
35	27347 ns	37	191	0
36	27459 ns	63	172	1
37	28163 ns	142	200	1
38	28558 ns	47	48	1
39	29087 ns	263	103	1
40	29252 ns	3	35	0
41	30064 ns	27	10	0
42	30883 ns	290	5	0
43	31373 ns	25	147	1
44	32277 ns	250	129	1
45	32529 ns	136	2	1
46	32784 ns	45	139	0
47	33311 ns	246	175	0
48	34275 ns	133	17	0
49	34895 ns	218	188	1
50	35832 ns	90	56	1
51	36351 ns	155	138	1
52	36814 ns	131	156	0
53	37238 ns	121	205	1
54	37956 ns	197	190	0
55	38225 ns	84	207	0
56	38476 ns	250	187	1
57	39140 ns	234	37	0
58	39608 ns	39	58	1
59	39932 ns	175	157	0
60	40640 ns	200	63	0
61	41452 ns	191	30	0
62	42323 ns	200	220	1
63	43083 ns	87	197	0
64	43259 ns	156	7	1
65	44242 ns	126	236	0
66	44503 ns	99	226	0
67	45106 ns	185	70	1
68	45481 ns	211	99	0
69	46380 ns	190	174	1
70	46923 ns	90	78	1
71	47441 ns	100	0	0
72	47871 ns	189	135	1
73	48142 ns	265	153	1
74	48435 ns	13	191	0
75	49308 ns	194	45	0
76	49773 ns	285	206	1
77	50665 ns	21	35	0
78	51629 ns	71	94	0
79	51784 ns	118	137	1
80	52160 ns	48	223	0
81	53128 ns	214	185	1
82	53815 ns	158	216	0
83	54386 ns	267	208	0
84	54540 ns	200	231	0
85	55336 ns	1	205	1
86	56276 ns	220	96	1
87	57047 ns	296	125	0
88	57760 ns	272	176	0
89	58002 ns	186	169	0
90	58660 ns	139	145	0
91	59178 ns	100	185	1
92	59620 ns	29	158	1
93	59968 ns	294	76	0
94	60707 ns	268	28	1
95	61513 ns	72	40	1
96	61763 ns	193	140	1
97	62426 ns	32	98	0
98	63263 ns	294	192	1
99	63406 ns	108	11	0
100	63736 ns	10	40	0
101	64608 ns	263	171	0
102	65209 ns	39	163	0
103	65415 ns	94	172	1
104	65832 ns	121	30	1
105	66279 ns	38	113	0
106	66509 ns	251	157	1
107	66899 ns	135	34	1
108	67503 ns	285	30	0
109	67640 ns	20	212	1
110	67876 ns	183	190	1
111	68833 ns	299	186	0
112	69459 ns	55	127	1
113	70305 ns	168	175	0
114	71235 ns	188	118	1
115	72029 ns	160	59	0
116	72901 ns	287	81	1
117	73054 ns	271	37	0
118	73939 ns	143	4	1
119	74326 ns	76	96	0
120	74804 ns	273	170	1
121	75694 ns	291	81	1
122	76201 ns	79	208	0
123	76769 ns	52	161	1
124	77564 ns	171	148	0
125	78184 ns	209	44	1
126	78577 ns	6	18	1
127	78725 ns	285	143	0
128	79253 ns	120	223	0
129	79850 ns	296	2	0
130	80724 ns	271	224	0
131	81267 ns	68	213	0
132	82195 ns	141	226	0
133	82444 ns	87	189	0
134	83177 ns	3	96	1
135	84077 ns	209	209	0
136	84758 ns	288	190	0
137	85129 ns	107	121	0
138	85946 ns	273	226	0
139	86263 ns	216	186	1
140	87013 ns	64	103	1
141	87789 ns	233	229	0
142	88606 ns	205	235	0
143	89144 ns	121	154	0
144	89286 ns	78	109	1
145	89931 ns	266	154	0
146	90629 ns	17	36	1
147	90963 ns	296	181	1
148	91678 ns	232	15	0
149	92122 ns	202	6	0
150	92392 ns	184	188	1
151	93288 ns	109	113	0
152	93965 ns	165	131	1
153	94882 ns	243	25	0
154	95874 ns	148	155	0
155	96197 ns	254	202	0
156	96468 ns	232	6	1
157	97238 ns	213	205	1
158	97901 ns	156	116	0
159	98427 ns	211	19	0
160	98905 ns	73	109	0
161	99894 ns	139	232	1
162	100013 ns	50	122	1
163	100143 ns	62	203	0
164	100447 ns	179	47	1
165	101160 ns	37	219	1
166	101830 ns	286	219	1
167	102030 ns	148	84	1
168	102854 ns	20	23	1
169	103279 ns	173	24	1
170	103446 ns	66	1	1
171	103559 ns	194	135	0
172	104026 ns	136	104	1
173	104937 ns	64	97	0
174	105330 ns	238	74	0
175	106240 ns	73	210	1
176	106544 ns	244	194	0
177	107457 ns	185	174	0
178	107603 ns	125	164	1
179	108541 ns	167	214	1
180	109431 ns	156	149	0
181	109969 ns	39	211	0
182	110873 ns	33	95	1
183	111415 ns	150	103	1
184	111749 ns	137	213	1
185	112168 ns	47	52	0
186	112289 ns	91	178	0
187	112542 ns	130	20	1
188	113452 ns	240	95	0
189	114420 ns	245	233	1
190	114692 ns	135	86	0
191	114847 ns	91	216	0
192	114957 ns	100	103	1
193	115783 ns	284	93	1
194	116745 ns	225	0	0
195	117499 ns	131	42	0
196	117602 ns	103	214	0
197	118100 ns	197	129	0
198	118230 ns	36	185	0
199	118494 ns	60	143	1
200	118607 ns	79	170	1
201	119522 ns	107	170	1
202	119970 ns	237	157	0
203	120844 ns	251	66	0
